id,data,label
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,3eea7b744e7e4092,throttle
00602,298c01663ef177ca,throttle
00635,e3371d01256a28b4,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0944Db86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,1cda89e29f6433ff,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,e217681103a6b983,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,3eea7b744e7e4092,throttle
00602,298c01663ef177ca,throttle
00635,e3371d01256a28b4,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,28ee3a6d5ff7d829,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0944Db86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,ab6fe7012e40df04,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,7dac664c58bb65bb,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62c25387805e5007,throttle
0057c,7c1589b466be6e54,throttle
00592,3eea7b744e7e4092,throttle
00602,11bff2d98fd338ea,throttle
00635,ec54b3b3575aec6a,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,28ee3a6d5ff7d829,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0944Db86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,ab6fe7012e40df04,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,7dac664c58bb65bb,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62c25387805e5007,throttle
0057c,7c1589b466be6e54,throttle
00592,3eea7b744e7e4092,throttle
00602,11bff2d98fd338ea,throttle
00635,ec54b3b3575aec6a,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,28ee3a6d5ff7d829,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0944Fb86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,a0621cba2b8b23a4,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,e217681103a6b983,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,11bff2d98fd338ea,throttle
00635,e3371d01256a28b4,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,28ee3a6d5ff7d829,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0944Fb86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,a0621cba2b8b23a4,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,e217681103a6b983,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,11bff2d98fd338ea,throttle
00635,e3371d01256a28b4,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,28ee3a6d5ff7d829,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0944Fb86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,a0621cba2b8b23a4,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,e217681103a6b983,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,11bff2d98fd338ea,throttle
00635,e3371d01256a28b4,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,28ee3a6d5ff7d829,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09450b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,1cda89e29f6433ff,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,f62042d729c0047c,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,feae034151654acd,throttle
0057c,7c1589b466be6e54,throttle
00592,2b2f6d0a1a701d5a,throttle
00602,298c01663ef177ca,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,28ee3a6d5ff7d829,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09450b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,1cda89e29f6433ff,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,f62042d729c0047c,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,feae034151654acd,throttle
0057c,7c1589b466be6e54,throttle
00592,2b2f6d0a1a701d5a,throttle
00602,298c01663ef177ca,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,28ee3a6d5ff7d829,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09450b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,1cda89e29f6433ff,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,f62042d729c0047c,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,feae034151654acd,throttle
0057c,7c1589b466be6e54,throttle
00592,2b2f6d0a1a701d5a,throttle
00602,298c01663ef177ca,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09452b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,a0621cba2b8b23a4,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,f62042d729c0047c,throttle
00440,17e00db8d588ee38,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,3eea7b744e7e4092,throttle
00602,11bff2d98fd338ea,throttle
00635,e3371d01256a28b4,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09452b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,a0621cba2b8b23a4,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,f62042d729c0047c,throttle
00440,17e00db8d588ee38,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,3eea7b744e7e4092,throttle
00602,11bff2d98fd338ea,throttle
00635,e3371d01256a28b4,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09454b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,ab6fe7012e40df04,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,7dac664c58bb65bb,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,298c01663ef177ca,throttle
00635,ec54b3b3575aec6a,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09454b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,ab6fe7012e40df04,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,7dac664c58bb65bb,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,298c01663ef177ca,throttle
00635,ec54b3b3575aec6a,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09454b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,ab6fe7012e40df04,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,7dac664c58bb65bb,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,298c01663ef177ca,throttle
00635,ec54b3b3575aec6a,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09454b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,ab6fe7012e40df04,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,7dac664c58bb65bb,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,298c01663ef177ca,throttle
00635,ec54b3b3575aec6a,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09455b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,fae0f5e08e75ee98,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,fd3649f4eaf3e110,throttle
00440,17e00db8d588ee38,throttle
00480,d7e1001b7aa6540d,throttle
004ab,7389d071f45aa8b6,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,11bff2d98fd338ea,throttle
00635,ec54b3b3575aec6a,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09455b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,fae0f5e08e75ee98,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,fd3649f4eaf3e110,throttle
00440,17e00db8d588ee38,throttle
00480,d7e1001b7aa6540d,throttle
004ab,7389d071f45aa8b6,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,11bff2d98fd338ea,throttle
00635,ec54b3b3575aec6a,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,0964ffa7aef024b2,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09456b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,fae0f5e08e75ee98,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,e217681103a6b983,throttle
00440,17e00db8d588ee38,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62c25387805e5007,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,11bff2d98fd338ea,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,0964ffa7aef024b2,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09456b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,fae0f5e08e75ee98,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,e217681103a6b983,throttle
00440,17e00db8d588ee38,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62c25387805e5007,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,11bff2d98fd338ea,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,0964ffa7aef024b2,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09456b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,fae0f5e08e75ee98,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,e217681103a6b983,throttle
00440,17e00db8d588ee38,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62c25387805e5007,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,11bff2d98fd338ea,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,0964ffa7aef024b2,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09456b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,fae0f5e08e75ee98,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,e217681103a6b983,throttle
00440,17e00db8d588ee38,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62c25387805e5007,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,11bff2d98fd338ea,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09457b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,ab6fe7012e40df04,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,e217681103a6b983,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,7389d071f45aa8b6,throttle
0057c,7c1589b466be6e54,throttle
00592,3eea7b744e7e4092,throttle
00602,e04b034cefb088c3,throttle
00635,ec54b3b3575aec6a,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09457b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,ab6fe7012e40df04,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,e217681103a6b983,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,7389d071f45aa8b6,throttle
0057c,7c1589b466be6e54,throttle
00592,3eea7b744e7e4092,throttle
00602,e04b034cefb088c3,throttle
00635,ec54b3b3575aec6a,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0945Ab86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,1cda89e29f6433ff,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,f62042d729c0047c,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,3eea7b744e7e4092,throttle
00602,11bff2d98fd338ea,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0945Ab86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,1cda89e29f6433ff,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,f62042d729c0047c,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,3eea7b744e7e4092,throttle
00602,11bff2d98fd338ea,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0945Ab86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,1cda89e29f6433ff,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,f62042d729c0047c,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,3eea7b744e7e4092,throttle
00602,11bff2d98fd338ea,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0945Cb86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,a0621cba2b8b23a4,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,7dac664c58bb65bb,throttle
00440,17e00db8d588ee38,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,11bff2d98fd338ea,throttle
00635,ec54b3b3575aec6a,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0945Cb86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,a0621cba2b8b23a4,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,7dac664c58bb65bb,throttle
00440,17e00db8d588ee38,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,11bff2d98fd338ea,throttle
00635,ec54b3b3575aec6a,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0945Cb86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f16dc8b79f075e6,throttle
0038d,a0621cba2b8b23a4,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,7dac664c58bb65bb,throttle
00440,17e00db8d588ee38,throttle
00480,d7e1001b7aa6540d,throttle
004ab,62f7c6f97c0513a4,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,11bff2d98fd338ea,throttle
00635,ec54b3b3575aec6a,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0945Fb86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,a0621cba2b8b23a4,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,f62042d729c0047c,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,feae034151654acd,throttle
0057c,7c1589b466be6e54,throttle
00592,2b2f6d0a1a701d5a,throttle
00602,11bff2d98fd338ea,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0945Fb86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,a0621cba2b8b23a4,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,f62042d729c0047c,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,feae034151654acd,throttle
0057c,7c1589b466be6e54,throttle
00592,2b2f6d0a1a701d5a,throttle
00602,11bff2d98fd338ea,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,6dc04993c6eab0aa,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b0945Fb86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,a0621cba2b8b23a4,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,f62042d729c0047c,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,feae034151654acd,throttle
0057c,7c1589b466be6e54,throttle
00592,2b2f6d0a1a701d5a,throttle
00602,11bff2d98fd338ea,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,11f329f07dd58a3f,throttle
00039,11bb55f86d9deeee,throttle
0010c,0964ffa7aef024b2,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09462b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,1cda89e29f6433ff,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,fd3649f4eaf3e110,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,7389d071f45aa8b6,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,11bff2d98fd338ea,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,0964ffa7aef024b2,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09462b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,1cda89e29f6433ff,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,fd3649f4eaf3e110,throttle
00440,b7d4ea0228b08946,throttle
00480,d7e1001b7aa6540d,throttle
004ab,7389d071f45aa8b6,throttle
0057c,7c1589b466be6e54,throttle
00592,c308bd9858bba837,throttle
00602,11bff2d98fd338ea,throttle
00635,68dba816892bb303,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,28ee3a6d5ff7d829,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09465b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,1cda89e29f6433ff,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,f62042d729c0047c,throttle
00440,17e00db8d588ee38,throttle
00480,d7e1001b7aa6540d,throttle
004ab,7389d071f45aa8b6,throttle
0057c,7c1589b466be6e54,throttle
00592,3eea7b744e7e4092,throttle
00602,298c01663ef177ca,throttle
00635,ec54b3b3575aec6a,throttle
00798,c9d400003c6e3096,throttle
007ef,9970d71d8ce90a07,throttle
00039,11bb55f86d9deeee,throttle
0010c,28ee3a6d5ff7d829,throttle
0016a,74002b8e05013278,throttle
001da,05f204ab5e5284e4,throttle
002a3,b09465b86b01a1c1,throttle
002fd,0981fa59aa448655,throttle
00356,8f6438551f5ab5ad,throttle
0038d,1cda89e29f6433ff,throttle
003b7,8a473a6a5434b6b5,throttle
003c2,c7bf13aa131a83dc,throttle
003dd,f62042d729c0047c,throttle
00440,17e00db8d588ee38,throttle
00480,d7e1001b7aa6540d,throttle
004ab,7389d071f45aa8b6,throttle
0057c,7c1589b466be6e54,throttle
00592,3eea7b744e7e4092,throttle
